gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
ABAT,497,52,10.8972338028,10.5141884615,1.0364312797587414,0,0
LOC100129637,497,52,7.32286257545,7.19096346154,1.018342342388434,0,0
ZNF780A,497,52,8.3195277666,8.26372884615,1.006752269040352,0,0
ZNF780B,497,52,8.38804748491,8.48651730769,0.9883969101561135,0,0
TLN2,497,52,8.66751810865,8.40027115385,1.0318140867016414,0,0
FRG1,497,52,8.94523158954,8.99759038462,0.9941807980981566,0,0
FRG2,497,52,0.0414865191147,0.0279346153846,1.4851294189479434,471,49
RHEBL1,497,52,2.21246217304,1.75092115385,1.263598973704917,6,2
ZNF41,497,52,7.66511167002,7.94959230769,0.9642144368338343,0,0
IFT80,497,52,8.42302414487,8.58989423077,0.9805736739688502,0,0
FBRS,497,52,10.6971857143,10.5935557692,1.009782357058613,0,0
ZNF414,497,52,8.34257706237,7.92324807692,1.0529238743227651,0,0
IFT88,497,52,8.14579336016,8.11794807692,1.0034300888566958,0,0
IL10RA,497,52,7.57388008048,7.4801,1.0125372763041798,0,0
POU5F1B,497,52,5.74337746479,4.48091346154,1.2817425540766458,0,0
SP1,497,52,11.0856215292,11.3218346154,0.9791365009087317,0,0
SLC27A4,497,52,10.1212818913,9.29549615385,1.0888371877987655,0,0
SP2,497,52,9.25160523139,9.39888846154,0.9843297182690448,0,0
OLA1,497,52,10.7106561368,10.3607846154,1.0337688248935117,0,0
PNOC,497,52,1.4426915493,1.48812115385,0.9694718374018384,90,10
CNTF,497,52,2.27392152918,2.39699807692,0.9486538813139079,14,0
MCM10,497,52,3.86268088531,2.8259,1.3668851995158608,2,0
PDIA5,497,52,10.9998760563,10.1117461538,1.087831506940476,0,0
SP4,497,52,7.87153501006,8.29066923077,0.949445067817525,0,0
TMEM38B,497,52,7.57595855131,7.93419038462,0.9548496045668176,0,0
THUMPD3,497,52,9.96155030181,9.91165,1.0050345100776223,0,0
IGFBPL1,497,52,1.65367746479,1.70369230769,0.9706432654078708,55,1
SP5,497,52,6.91668490946,5.66859615385,1.220175987446867,0,0
ATG4C,497,52,7.34599517103,7.41699615385,0.990427259048371,0,0
ATG4B,497,52,10.374722334,10.0572923077,1.0315621756433317,0,0
ATG4A,497,52,8.3587028169,8.21190576923,1.0178761242269332,0,0
THUMPD2,497,52,7.90769637827,7.54757307692,1.0477137879522664,0,0
LOC441208,497,52,5.19580523139,5.91457115385,0.8784753951281113,0,0
ATG4D,497,52,9.15497384306,8.76174615385,1.044880059557487,0,0
PHOX2A,497,52,0.29603501006,0.447325,0.6617895491205773,346,26
PHOX2B,497,52,0.184872635815,0.261407692308,0.7072195702538214,437,44
SNORD114-31,497,52,0.0,0.0,n/a,497,52
SNORD114-30,497,52,0.0,0.0,n/a,497,52
LRGUK,497,52,3.31349396378,1.98128076923,1.6724000026857164,0,1
MPHOSPH8,497,52,9.72701267606,10.2737884615,0.9467795363386092,0,0
UPK2,497,52,2.10022796781,3.00697692308,0.6984516414771017,18,1
CFH,497,52,8.70840985915,9.77668076923,0.8907327614257483,0,0
CFI,497,52,7.53690140845,7.88519423077,0.9558295189534541,0,0
PNP,497,52,8.77491730382,8.64956730769,1.0144920539573294,0,0
ANKFY1,497,52,10.4158,10.6293730769,0.9799072743634566,0,0
C1orf14,497,52,0.0119444668008,0.05845,0.20435358085209293,485,47
CFB,497,52,10.4049046278,10.6665807692,0.9754676641816644,0,0
OR5P3,497,52,0.0851386317907,0.190828846154,0.44615179259694177,433,39
OR5P2,497,52,0.0438565392354,0.166190384615,0.26389336144151737,459,40
MLLT4,497,52,11.6732130785,11.5271692308,1.0126695327168236,1,0
SNORD115-6,497,52,0.0,0.0,n/a,497,52
CREBBP,497,52,11.0571114688,11.2233942308,0.9851842714835334,0,0
PNN,497,52,10.8621249497,10.5213942308,1.032384559636831,0,0
PHYHIPL,497,52,5.75168430584,7.68338269231,0.7485875084151902,0,0
ATP6V0E1,497,52,11.9580221328,11.8944923077,1.0053411127991891,0,0
ATP6V0E2,497,52,11.8698195171,11.1907461538,1.0606816877016796,0,0
RNF128,497,52,5.6409498994,7.16767307692,0.7869987705714269,2,0
CFP,497,52,4.38085714286,4.36290769231,1.0041141027533305,0,0
AAAS,497,52,9.75036881288,9.36876730769,1.0407312395166055,0,0
HAMP,497,52,2.63245130785,2.75275961538,0.9562953819631926,19,1
ZNF394,497,52,8.84780925553,8.91085192308,0.992925180657479,0,0
SIDT1,497,52,8.44575895372,8.68878076923,0.9720303893074342,0,0
SERPINA10,497,52,0.290257344064,0.113448076923,2.558503871874305,334,40
SIDT2,497,52,11.2642814889,11.3136846154,0.9956333300661544,0,0
SNORD115-7,497,52,0.0192798792757,0.0241538461538,0.7982115623678375,482,50
TAF8,497,52,8.90116981891,9.01069615385,0.9878448531542237,1,0
PISRT1,497,52,0.00559979879276,0.0,n/a,492,52
SIX4,497,52,8.67583219316,7.93886730769,1.0928299790012324,0,0
LOC283070,497,52,7.09696177062,8.12440192308,0.8735365184808506,0,0
SIX6,497,52,2.13691730382,1.93071923077,1.1067985804293015,53,10
PM20D1,497,52,0.912853118712,1.85024807692,0.49336795973344766,128,5
MR1,497,52,6.22358450704,7.49677307692,0.8301684529040885,0,0
MGC4473,497,52,0.0399830985915,0.0366653846154,1.0904862722965296,470,49
SIX3,497,52,0.353463581489,0.141075,2.5055011978659127,305,39
SNORD115-4,497,52,0.0,0.0,n/a,497,52
WASH3P,497,52,8.82589657948,8.65549423077,1.0196871887571566,0,0
CNPY4,497,52,7.24793822938,7.79904807692,0.9293362674378787,0,0
CNPY3,497,52,11.0423702213,10.7557423077,1.0266488267788518,1,0
